Date,Symbol,High,Low,Open,Close,Volume,Marketcap,DiffDay,Up/Down,Change,MACD,RSI,sma5,sma10
2020-04-11 23:59:59,SOL,1.04907270025,0.765020356128,0.95105395758,0.776818582977,43862443.7931816,0.0,-0.17,0,,0.0,0.0,,
2020-04-12 23:59:59,SOL,0.956669837035,0.762426200135,0.785447714185,0.882506928259,38736897.0186422,0.0,0.1,1,13.605280254363999,0.008430979110814807,0.0,,
2020-04-13 23:59:59,SOL,0.891602782787,0.773976306644,0.890759612431,0.777831565037,18211285.4666889,0.0,-0.11,0,-13.457330343365633,0.006590196115985325,0.016443597449566028,,
2020-04-14 23:59:59,SOL,0.796472356866,0.628169430018,0.777831565037,0.661924824696,16747614.1218552,0.0,-0.12,0,-17.510559510172794,-0.004173236469741437,0.02422961178669425,,
2020-04-15 23:59:59,SOL,0.704963548631,0.62153145556,0.669289149224,0.646650901989,13075275.285934,0.0,-0.02,0,-2.362004392171996,-0.013776999577980509,0.031969198803224685,0.7491465605916,
2020-04-16 23:59:59,SOL,0.774192228467,0.625107412535,0.630878816101,0.690815875441,21346031.3456645,0.0,0.06,1,6.829801569309691,-0.017621180773985556,0.469811294503657,0.7319460190843999,
2020-04-17 23:59:59,SOL,0.719613782417,0.660727970818,0.689312454191,0.660727970818,9870810.00168021,0.0,-0.03,0,-4.553750704053023,-0.02283236719919779,0.46068952502471916,0.6875902275962,
2020-04-18 23:59:59,SOL,0.717618209437,0.659427087306,0.660727970818,0.681096334559,9782111.900077,0.0,0.02,1,3.082715525995262,-0.025030180912555378,0.5747610695651133,0.6682431815006,
2020-04-19 23:59:59,SOL,0.68464132719,0.598486993213,0.681515884453,0.606969175324,9289670.37817109,0.0,-0.07,0,-12.212672776246167,-0.03238014816641044,0.6860328821499166,0.6572520516261999,
2020-04-20 23:59:59,SOL,0.639253715698,0.52057781675,0.612947581488,0.538812129578,8342616.4207554,0.0,-0.07,0,-12.64950100499425,-0.043206694271916146,0.790693304136667,0.635684297144,0.6924154288678
2020-04-21 23:59:59,SOL,0.604586042345,0.508548999936,0.541386709626,0.587659155744,9711507.44842345,0.0,0.05,1,9.065687924334075,-0.04730001811601425,0.9012904768316474,0.6150529532046001,0.6734994861445
2020-04-22 23:59:59,SOL,0.706963640285,0.569620792668,0.581166089846,0.691600915883,18828399.5228331,0.0,0.11,1,17.687422908846813,-0.04167635629484878,2.961386976087823,0.6212275422176,0.6544088849069
2020-04-23 23:59:59,SOL,0.698077000278,0.600321839105,0.685347169644,0.627457179792,13485271.0516431,0.0,-0.06,0,-10.22280693517021,-0.04191228844455841,2.8515031279360556,0.6104997112642,0.6393714463824
